champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
22,Ashe,3.0,3,1,1,100.0,4.0
35,Shaco,0.0,0,3,3,100.0,3.0
131,Diana,0.0,0,3,3,100.0,3.0
113,Sejuani,1.0,1,1,1,100.0,2.0
119,Draven,1.0,1,1,1,100.0,2.0
203,Kindred,0.0,0,2,2,100.0,2.0
30,Karthus,0.0,0,2,2,100.0,2.0
68,Rumble,1.0,1,1,1,100.0,2.0
102,Shyvana,0.0,0,2,2,100.0,2.0
69,Cassiopeia,1.0,1,1,1,100.0,2.0
523,Aphelios,1.0,1,1,1,100.0,2.0
99,Lux,0.0,0,2,2,100.0,2.0
26,Zilean,1.0,1,1,1,100.0,2.0
83,Yorick,0.0,0,2,2,100.0,2.0
429,Kalista,1.0,1,1,1,100.0,2.0
111,Nautilus,1.0,1,0,0,100.0,1.0
126,Jayce,0.0,0,1,1,100.0,1.0
34,Anivia,0.0,0,1,1,100.0,1.0
28,Evelynn,1.0,1,0,0,100.0,1.0
54,Malphite,1.0,1,0,0,100.0,1.0
166,Akshan,0.0,0,1,1,100.0,1.0
420,Illaoi,0.0,0,1,1,100.0,1.0
236,Lucian,0.0,0,1,1,100.0,1.0
154,Zac,1.0,1,0,0,100.0,1.0
876,Lillia,0.0,0,1,1,100.0,1.0
105,Fizz,1.0,1,1,1,100.0,
240,Kled,1.0,1,0,0,100.0,
134,Syndra,0.0,0,1,1,100.0,
115,Ziggs,0.0,0,1,1,100.0,
3,Galio,0.0,0,1,1,100.0,
18,Tristana,0.0,0,1,1,100.0,
64,LeeSin,0.0,0,1,1,100.0,
29,Twitch,0.0,0,1,1,100.0,
432,Bard,3.0,2,1,1,75.0,4.0
75,Nasus,2.0,1,2,2,75.0,4.0
101,Xerath,1.0,0,3,3,75.0,4.0
39,Irelia,1.0,1,3,2,75.0,4.0
20,Nunu,3.0,2,1,1,75.0,4.0
53,Blitzcrank,3.0,3,1,0,75.0,4.0
86,Garen,2.0,2,2,1,75.0,4.0
7,Leblanc,6.0,4,0,0,66.67,6.0
141,Kayn,1.0,1,2,1,66.67,3.0
33,Rammus,1.0,1,2,1,66.67,3.0
11,MasterYi,0.0,0,3,2,66.67,3.0
45,Veigar,1.0,1,2,1,66.67,3.0
17,Teemo,3.0,2,0,0,66.67,3.0
245,Ekko,2.0,1,1,1,66.67,3.0
92,Riven,0.0,0,3,2,66.67,3.0
164,Camille,3.0,2,0,0,66.67,3.0
55,Katarina,2.0,1,1,1,66.67,3.0
147,Seraphine,0.0,0,3,2,66.67,3.0
40,Janna,1.0,0,2,2,66.67,3.0
555,Pyke,2.0,2,1,0,66.67,3.0
875,Sett,1.0,1,2,1,66.67,3.0
1,Annie,2.0,1,1,1,66.67,3.0
887,Gwen,4.0,2,4,3,62.5,8.0
202,Jhin,6.0,5,4,1,60.0,10.0
80,Pantheon,3.0,1,2,2,60.0,5.0
777,Yone,3.0,2,2,1,60.0,5.0
157,Yasuo,4.0,2,3,2,57.14,7.0
254,Vi,17.0,9,1,0,50.0,18.0
14,Sion,1.0,1,5,2,50.0,6.0
36,DrMundo,3.0,1,3,2,50.0,6.0
221,Zeri,2.0,1,2,1,50.0,4.0
41,Gangplank,1.0,0,3,2,50.0,4.0
48,Trundle,0.0,0,2,1,50.0,2.0
267,Nami,0.0,0,2,1,50.0,2.0
268,Azir,0.0,0,2,1,50.0,2.0
6,Urgot,2.0,1,0,0,50.0,2.0
25,Morgana,2.0,1,0,0,50.0,2.0
133,Quinn,2.0,1,0,0,50.0,2.0
117,Lulu,1.0,0,1,1,50.0,2.0
104,Graves,1.0,0,1,1,50.0,2.0
96,KogMaw,0.0,0,2,1,50.0,2.0
61,Orianna,1.0,1,1,0,50.0,2.0
2,Olaf,0.0,0,2,1,50.0,2.0
266,Aatrox,0.0,0,2,1,50.0,2.0
8,Vladimir,2.0,1,0,0,50.0,2.0
526,Rell,0.0,0,2,1,50.0,
62,MonkeyKing,6.0,2,1,1,42.86,7.0
222,Jinx,5.0,2,2,1,42.86,7.0
145,Kaisa,1.0,1,4,1,40.0,5.0
51,Caitlyn,2.0,1,3,1,40.0,5.0
63,Brand,2.0,0,3,2,40.0,5.0
67,Vayne,3.0,1,2,1,40.0,5.0
112,Viktor,1.0,1,4,1,40.0,5.0
81,Ezreal,2.0,2,4,0,33.33,6.0
24,Jax,0.0,0,3,1,33.33,3.0
59,JarvanIV,3.0,1,0,0,33.33,3.0
122,Darius,2.0,1,1,0,33.33,3.0
888,Renata,1.0,1,2,0,33.33,3.0
21,MissFortune,0.0,0,3,1,33.33,3.0
103,Ahri,2.0,0,1,1,33.33,3.0
50,Swain,3.0,1,0,0,33.33,3.0
58,Renekton,1.0,0,2,1,33.33,3.0
150,Gnar,3.0,1,0,0,33.33,3.0
110,Varus,2.0,0,1,1,33.33,3.0
31,Chogath,2.0,1,1,0,33.33,3.0
