champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
35,Shaco,4.0,4,2,2,100,6
112,Viktor,1.0,1,4,4,100,5
45,Veigar,2.0,2,3,3,100,5
2,Olaf,1.0,1,3,3,100,4
267,Nami,1.0,1,3,3,100,4
42,Corki,1.0,1,3,3,100,4
711,Vex,1.0,1,3,3,100,4
98,Shen,1.0,1,2,2,100,3
60,Elise,0.0,0,3,3,100,3
31,Chogath,1.0,1,2,2,100,3
201,Braum,1.0,1,2,2,100,3
240,Kled,3.0,3,0,0,100,3
154,Zac,0.0,0,2,2,100,2
78,Poppy,2.0,2,0,0,100,2
150,Gnar,1.0,1,1,1,100,2
111,Nautilus,1.0,1,1,1,100,2
141,Kayn,2.0,2,0,0,100,2
429,Kalista,1.0,1,0,0,100,1
887,Gwen,1.0,1,0,0,100,1
43,Karma,0.0,0,1,1,100,1
897,KSante,0.0,0,1,1,100,1
27,Singed,0.0,0,1,1,100,1
48,Trundle,1.0,1,0,0,100,1
80,Pantheon,0.0,0,1,1,100,1
91,Talon,1.0,1,0,0,100,1
161,Velkoz,0.0,0,5,4,80,5
876,Lillia,3.0,2,2,2,80,5
412,Thresh,6.0,4,2,2,75,8
13,Ryze,3.0,2,1,1,75,4
131,Diana,4.0,3,0,0,75,4
238,Zed,2.0,2,2,1,75,4
102,Shyvana,2.0,1,2,2,75,4
221,Zeri,2.0,1,2,2,75,4
236,Lucian,2.0,1,8,6,70,10
76,Nidalee,6.0,3,3,3,66,9
96,KogMaw,2.0,1,4,3,66,6
53,Blitzcrank,2.0,2,4,2,66,6
82,Mordekaiser,1.0,0,5,4,66,6
8,Vladimir,1.0,1,5,3,66,6
55,Katarina,3.0,1,3,3,66,6
62,MonkeyKing,5.0,3,1,1,66,6
166,Akshan,3.0,2,0,0,66,3
777,Yone,1.0,0,2,2,66,3
268,Azir,1.0,0,2,2,66,3
33,Rammus,2.0,1,1,1,66,3
22,Ashe,4.0,2,10,7,64,14
18,Tristana,1.0,0,7,5,62,8
30,Karthus,4.0,2,4,3,62,8
498,Xayah,6.0,4,2,1,62,8
54,Malphite,1.0,1,7,4,62,8
58,Renekton,1.0,1,4,2,60,5
89,Leona,4.0,2,1,1,60,5
105,Fizz,0.0,0,5,3,60,5
79,Gragas,3.0,1,2,2,60,5
134,Syndra,4.0,2,1,1,60,5
517,Sylas,3.0,2,4,2,57,7
103,Ahri,5.0,3,2,1,57,7
26,Zilean,5.0,2,2,2,57,7
25,Morgana,5.0,3,2,1,57,7
110,Varus,6.0,3,5,3,54,11
235,Senna,7.0,4,4,2,54,11
10,Kayle,3.0,1,3,2,50,6
104,Graves,3.0,1,3,2,50,6
90,Malzahar,3.0,1,3,2,50,6
888,Renata,2.0,1,4,2,50,6
63,Brand,4.0,2,2,1,50,6
57,Maokai,6.0,3,0,0,50,6
143,Zyra,1.0,0,3,2,50,4
432,Bard,2.0,0,2,2,50,4
157,Yasuo,3.0,1,1,1,50,4
136,AurelionSol,3.0,1,1,1,50,4
50,Swain,2.0,1,2,1,50,4
203,Kindred,3.0,1,1,1,50,4
245,Ekko,1.0,1,3,1,50,4
56,Nocturne,1.0,1,3,1,50,4
64,LeeSin,2.0,1,0,0,50,2
23,Tryndamere,0.0,0,2,1,50,2
75,Nasus,2.0,1,0,0,50,2
7,Leblanc,0.0,0,2,1,50,2
526,Rell,0.0,0,2,1,50,2
875,Sett,1.0,0,1,1,50,2
38,Kassadin,0.0,0,2,1,50,2
497,Rakan,0.0,0,2,1,50,2
37,Sona,0.0,0,2,1,50,2
69,Cassiopeia,1.0,1,1,0,50,2
3,Galio,1.0,1,1,0,50,2
420,Illaoi,1.0,0,1,1,50,2
21,MissFortune,7.0,4,4,1,45,11
51,Caitlyn,4.0,1,5,3,44,9
114,Fiora,5.0,3,4,1,44,9
67,Vayne,3.0,1,4,2,42,7
85,Kennen,4.0,1,3,2,42,7
86,Garen,3.0,1,4,2,42,7
145,Kaisa,5.0,3,2,0,42,7
12,Alistar,5.0,2,2,1,42,7
555,Pyke,6.0,3,4,1,40,10
147,Seraphine,4.0,1,1,1,40,5
40,Janna,3.0,1,2,1,40,5
14,Sion,4.0,2,1,0,40,5
20,Nunu,3.0,1,2,1,40,5
234,Viego,3.0,1,2,1,40,5
222,Jinx,3.0,1,2,1,40,5
99,Lux,2.0,1,3,1,40,5
29,Twitch,4.0,1,1,1,40,5
84,Akali,5.0,2,3,1,37,8
15,Sivir,2.0,0,6,3,37,8
101,Xerath,4.0,2,4,1,37,8
17,Teemo,2.0,1,4,1,33,6
24,Jax,2.0,0,1,1,33,3
19,Warwick,0.0,0,3,1,33,3
121,Khazix,2.0,0,1,1,33,3
113,Sejuani,1.0,0,2,1,33,3
74,Heimerdinger,1.0,1,2,0,33,3
127,Lissandra,0.0,0,3,1,33,3
516,Ornn,1.0,1,2,0,33,3
200,Belveth,0.0,0,3,1,33,3
106,Volibear,3.0,1,0,0,33,3
133,Quinn,1.0,0,2,1,33,3
360,Samira,1.0,0,2,1,33,3
68,Rumble,4.0,1,3,1,28,7
81,Ezreal,5.0,1,2,1,28,7
41,Gangplank,2.0,0,5,2,28,7
6,Urgot,1.0,0,3,1,25,4
119,Draven,0.0,0,4,1,25,4
518,Neeko,4.0,1,0,0,25,4
5,XinZhao,3.0,1,1,0,25,4
9,Fiddlesticks,2.0,0,2,1,25,4
61,Orianna,3.0,1,1,0,25,4
32,Amumu,3.0,0,1,1,25,4
126,Jayce,1.0,0,3,1,25,4
202,Jhin,2.0,0,3,1,20,5
122,Darius,3.0,0,2,1,20,5
34,Anivia,5.0,1,1,0,16,6
16,Soraka,5.0,0,1,1,16,6
59,JarvanIV,5.0,0,3,0,0,8
117,Lulu,1.0,0,4,0,0,5
1,Annie,4.0,0,1,0,0,5
36,DrMundo,1.0,0,3,0,0,4
120,Hecarim,2.0,0,2,0,0,4
115,Ziggs,2.0,0,2,0,0,4
39,Irelia,2.0,0,1,0,0,3
4,TwistedFate,2.0,0,1,0,0,3
246,Qiyana,1.0,0,2,0,0,3
254,Vi,0.0,0,2,0,0,2
11,MasterYi,1.0,0,1,0,0,2
163,Taliyah,1.0,0,1,0,0,2
895,Nilah,1.0,0,1,0,0,2
77,Udyr,1.0,0,1,0,0,2
427,Ivern,1.0,0,1,0,0,2
92,Riven,1.0,0,0,0,0,1
28,Evelynn,1.0,0,0,0,0,1
44,Taric,0.0,0,1,0,0,1
902,Milio,0.0,0,1,0,0,1
