champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
102,Shyvana,2.0,2,1,1,100,3
222,Jinx,1.0,1,1,1,100,2
555,Pyke,1.0,1,1,1,100,2
127,Lissandra,1.0,1,0,0,100,1
498,Xayah,1.0,1,0,0,100,1
23,Tryndamere,1.0,1,0,0,100,1
154,Zac,1.0,1,0,0,100,1
99,Lux,1.0,1,0,0,100,1
80,Pantheon,0.0,0,1,1,100,1
79,Gragas,0.0,0,1,1,100,1
35,Shaco,0.0,0,1,1,100,1
67,Vayne,0.0,0,1,1,100,1
25,Morgana,0.0,0,1,1,100,1
86,Garen,0.0,0,1,1,100,1
246,Qiyana,0.0,0,1,1,100,1
111,Nautilus,0.0,0,1,1,100,1
106,Volibear,1.0,1,0,0,100,1
24,Jax,1.0,1,0,0,100,1
55,Katarina,1.0,1,0,0,100,1
51,Caitlyn,1.0,1,0,0,100,1
63,Brand,1.0,1,0,0,100,1
56,Nocturne,1.0,1,0,0,100,1
157,Yasuo,1.0,1,0,0,100,1
163,Taliyah,1.0,1,0,0,100,1
104,Graves,1.0,1,0,0,100,1
101,Xerath,1.0,1,0,0,100,1
15,Sivir,3.0,2,0,0,66,3
50,Swain,2.0,1,0,0,50,2
82,Mordekaiser,2.0,1,0,0,50,2
48,Trundle,2.0,1,0,0,50,2
103,Ahri,1.0,1,1,0,50,2
777,Yone,0.0,0,2,1,50,2
84,Akali,1.0,0,1,1,50,2
81,Ezreal,0.0,0,3,1,33,3
112,Viktor,0.0,0,3,1,33,3
221,Zeri,1.0,0,1,0,0,2
41,Gangplank,0.0,0,2,0,0,2
98,Shen,0.0,0,1,0,0,1
19,Warwick,0.0,0,1,0,0,1
43,Karma,0.0,0,1,0,0,1
64,LeeSin,0.0,0,1,0,0,1
145,Kaisa,0.0,0,1,0,0,1
235,Senna,0.0,0,1,0,0,1
240,Kled,1.0,0,0,0,0,1
18,Tristana,1.0,0,0,0,0,1
16,Soraka,1.0,0,0,0,0,1
31,Chogath,1.0,0,0,0,0,1
32,Amumu,1.0,0,0,0,0,1
17,Teemo,1.0,0,0,0,0,1
147,Seraphine,1.0,0,0,0,0,1
29,Twitch,1.0,0,0,0,0,1
134,Syndra,1.0,0,0,0,0,1
141,Kayn,0.0,0,1,0,0,1
518,Neeko,0.0,0,1,0,0,1
236,Lucian,0.0,0,1,0,0,1
267,Nami,0.0,0,1,0,0,1
91,Talon,0.0,0,1,0,0,1
10,Kayle,0.0,0,1,0,0,1
22,Ashe,0.0,0,1,0,0,1
887,Gwen,0.0,0,1,0,0,1
203,Kindred,0.0,0,1,0,0,1
161,Velkoz,0.0,0,1,0,0,1
