champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
777,Yone,2.0,2,1,1,100,3
236,Lucian,1.0,1,1,1,100,2
14,Sion,2.0,2,0,0,100,2
145,Kaisa,0.0,0,2,2,100,2
133,Quinn,1.0,1,0,0,100,1
161,Velkoz,1.0,1,0,0,100,1
19,Warwick,0.0,0,1,1,100,1
103,Ahri,0.0,0,1,1,100,1
875,Sett,0.0,0,1,1,100,1
147,Seraphine,0.0,0,1,1,100,1
157,Yasuo,1.0,1,0,0,100,1
40,Janna,1.0,1,0,0,100,1
67,Vayne,0.0,0,1,1,100,1
117,Lulu,0.0,0,1,1,100,1
122,Darius,0.0,0,1,1,100,1
102,Shyvana,0.0,0,1,1,100,1
56,Nocturne,1.0,1,0,0,100,1
75,Nasus,1.0,1,0,0,100,1
80,Pantheon,0.0,0,1,1,100,1
121,Khazix,0.0,0,1,1,100,1
876,Lillia,1.0,1,0,0,100,1
234,Viego,1.0,1,0,0,100,1
58,Renekton,1.0,1,0,0,100,1
76,Nidalee,1.0,1,0,0,100,1
91,Talon,0.0,0,1,1,100,1
131,Diana,2.0,1,1,1,66,3
53,Blitzcrank,1.0,0,3,2,50,4
84,Akali,1.0,0,1,1,50,2
62,MonkeyKing,0.0,0,2,1,50,2
119,Draven,0.0,0,2,1,50,2
154,Zac,1.0,1,1,0,50,2
254,Vi,2.0,1,0,0,50,2
150,Gnar,2.0,1,0,0,50,2
45,Veigar,2.0,1,0,0,50,2
21,MissFortune,0.0,0,2,1,50,2
245,Ekko,0.0,0,2,1,50,2
35,Shaco,1.0,0,1,1,50,2
50,Swain,1.0,0,2,1,33,3
105,Fizz,1.0,0,1,0,0,2
92,Riven,0.0,0,1,0,0,1
43,Karma,0.0,0,1,0,0,1
238,Zed,0.0,0,1,0,0,1
31,Chogath,1.0,0,0,0,0,1
81,Ezreal,1.0,0,0,0,0,1
350,Yuumi,1.0,0,0,0,0,1
223,TahmKench,0.0,0,1,0,0,1
107,Rengar,0.0,0,1,0,0,1
82,Mordekaiser,0.0,0,1,0,0,1
895,Nilah,0.0,0,1,0,0,1
89,Leona,0.0,0,1,0,0,1
86,Garen,1.0,0,0,0,0,1
887,Gwen,1.0,0,0,0,0,1
30,Karthus,1.0,0,0,0,0,1
17,Teemo,1.0,0,0,0,0,1
163,Taliyah,1.0,0,0,0,0,1
13,Ryze,1.0,0,0,0,0,1
64,LeeSin,0.0,0,1,0,0,1
104,Graves,0.0,0,1,0,0,1
555,Pyke,0.0,0,1,0,0,1
240,Kled,1.0,0,0,0,0,1
200,Belveth,1.0,0,0,0,0,1
112,Viktor,1.0,0,0,0,0,1
54,Malphite,1.0,0,0,0,0,1
3,Galio,1.0,0,0,0,0,1
106,Volibear,0.0,0,1,0,0,1
421,RekSai,1.0,0,0,0,0,1
59,JarvanIV,1.0,0,0,0,0,1
